City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
318,Frontera,MX,86.32,clear sky,26.9333,-101.45,Casagrande Hotel
319,Lorengau,PG,81.23,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
321,Tiarei,PF,73.42,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
322,Manavalakurichi,IN,78.89,overcast clouds,8.1333,77.3,Udaya Boys Hostel
323,Namatanai,PG,79.2,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
324,Nortelandia,BR,82.71,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
325,Merauke,ID,79.52,overcast clouds,-8.4667,140.3333,
327,Libreville,GA,84.22,moderate rain,0.3925,9.4537,Hotel Re-Ndama
329,La Carlota,PH,77.32,overcast clouds,10.4233,122.9208,Casa de Mae
331,Luganville,VU,77.18,clear sky,-15.5333,167.1667,The Espiritu Hotel
336,Santa Rosa,PH,79.86,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
340,Kuala Lipis,MY,74.62,overcast clouds,4.1842,102.0468,Lipis Centrepoint Hotel
341,Faanui,PF,77.94,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
345,Kang,BW,92.52,scattered clouds,-23.6752,22.7876,Kang Ultra Stop
346,Old Shinyanga,TZ,86.43,scattered clouds,-3.55,33.4,
349,Darab,IR,70.47,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
350,Copacabana,CO,79.74,broken clouds,6.3463,-75.5089,Hospedaje Brazil
351,Punta Alta,AR,76.06,few clouds,-38.8759,-62.0736,Center Hotel Punta Alta
353,Edd,ER,90.25,clear sky,13.9297,41.6925,
356,Alta Floresta,BR,82.22,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
359,Marzuq,YE,76.17,clear sky,14.4,46.4667,
366,Asyut,EG,84.38,clear sky,27.181,31.1837,Florence Hotel Assiut
368,Mayo,US,75.96,clear sky,38.8876,-76.5119,Resorts Resource Group International
371,Payo,ID,72.9,overcast clouds,-3.7508,103.6372,Mess keban agung
372,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
375,Satana,IN,76.26,overcast clouds,20.5833,74.2,Vatsalya Residence
383,Biak,ID,77.88,overcast clouds,-0.9131,122.8766,Penginapan Kim
386,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
393,Bajos De Haina,DO,88.21,scattered clouds,18.4154,-70.0332,Familia García Santana
